i,t,m,"Abats et tripes (foie, rognon, etc.)",Ail,Ananas,Arachide grillée,Arachides décortiquées ou pilées,Arachides fraîches en coques,Arachides séchées en coques,"Arôme (Maggi, Jumbo, etc.)",Attiéke,"Aubergine, Courge/Courgette","Autre légumes frais n.d.a (Kapok, Voaga)",Autre poisson fumé,"Autre riz importé (brisure, etc.)",Autre riz local (riz pluvial),Autre viande et poisson,Autres agrumes,Autres condiments (poivre etc.),Autres céréales,Autres farines de céréales,"Autres fruits (pommes, raisin, etc.)",Autres huile/graisse,"Autres huiles n.d.a. (maïs, soja, huile palmiste, etc.)",Autres légumes et tubercules,Autres légumes secs n.d.a,Autres poissons frais,Autres produits alimentaires,Autres produits laitiers,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Autres tubercules n.d.a,Autres viandes n.d.a,Avocats,Banane douce,"Beignets, galettes",Beurre,Beurre de Karité,Beurre de karité,Biscuits,Bière industrielle local,Bière traditionnelle (dolo),"Bières et vins traditionnels (dolo, vin de palme, vin de raphia, etc.)",Bières industrielles,Blé,Boisson non alcoolis non industr,Boisson non alcoolisées industr,"Boissons gazeuses (coca, etc.)",Café,Canne à sucre,"Caramel, bonbons, confiseries, etc",Carotte,"Charcuterie (jambon, saucisson), conserves de viandes",Chocolat en poudre,"Chocolat à croquer, pâte à tartiner",Choux,Cigarette,Citrons,Concentré de tomate,Concombre,Conserves de poisson,Croissants,"Cube (Maggi, Jumbo,…)","Cube alimentaire (Maggi, Jumbo, )",Dattes,Eau minérale,Eau minérale/ filtrée,Farine de blé local ou importé,Farine de maïs,Farine de mil,Farine de petit mil,Farines de manioc,"Feuilles (oseilles, baobab, boulvaka…",Feuilles d'oseille,Feuilles de baobab,Feuilles de haricot,"Feuilles de manioc, feuilles de taro et, autres feuilles",Feuilles locales (Boulvanka),Fonio,Fromage,"Fruits (oranges, ananas, papayes)","Gari, tapioca",Gibiers,Gingembre,Gombo,Gombo frais,Gombo sec,Gâteaux,Haricot,Haricot vert,Huile d'arachide,Huile de coton,Huile de palme raffinée,Huile de palme rouge,Huiles,Igname,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Jus en poudre,Kapok (voaga),Lait,"Lait caillé, yaourt",Lait concentré non-sucré,Lait concentré sucré,Lait en poudre,Lait et farines pour bébé,Lait frais,Mangue,Manioc,Mayonnaise,Maïs,Maïs en grain,Maïs en épi,Miel,Niébé/Haricots secs,Noix de cajou,Noix de coco,Noix de cola,Noix de karité,Oeufs,Oignon frais,"Oignons (gousse, feuille)",Orange,Pain,Pain moderne,Pain traditionnel,"Pastèque, Melon",Patate,Patate douce,Patte de tomate,Petit Mil,Petit mil,Petit pois secs,Petits pois,Piment,Plantain,Poisson frais carpe,Poisson frais chinchard,Poisson frais maquereau,Poisson fumé siliure/carpe,Poisson séché,Poissons frais,Poissons fumé,Poissons secs,Poivron frais,Pomme de terre,Poulet sur pied,Produits laitiers,Pâte d'arachide,Pâtes alimentaires,Riz,Riz importé long grain,Riz local (Bagré Sourou et Bama),Salade (laitue),Sel,Sorgho,Soumbala,Soumbala (moutarde africaine),Sucre (poudre ou morceaux),Sésame,Tabac local à chiquer,"Taro, macabo",Thé,Tomate fraîche,Tomate séchée,Tomates fraiches,Viande d'autres volailles domestiques,Viande de bœuf,Viande de chameau,Viande de chèvre,Viande de mouton,Viande de porc,Viande de poulet,Viandes de bœufs fraîches,Viandes de moutons/ de chèvres  fraîch,Vin et liqueurs,Vinaigre /moutarde,Volailles Fraiches ou sur pied,café,Œufs,Viande de mouton,Viande de porc,Viande de poulet,Viandes de bœufs fraîches,Viandes de moutons/ de chèvres  fraîch,Vin et liqueurs,Vinaigre /moutarde,Volailles Fraiches ou sur pied,café,Œufs
i,t,m,"Offal and tripe (liver, kidney, etc.)",Garlic,Pineapple,Roasted peanut,Shelled or crushed peanuts,Fresh peanuts in shells,Dried peanuts in shells,"Flavor (Maggi, Jumbo, etc.)",Attiéke,"Eggplant, Squash/Zucchini","Other fresh vegetables n.e.s. (Kapok, Voaga)",Other smoked fish,"Other imported rice (broken, etc.)",Other local rice (rainfed rice),Other meat and fish,Other citrus fruits,Other condiments (pepper etc.),Other cereals,Other cereal flours,"Other fruits (apples, grapes, etc.)",Other oil/fat,"Other oils n.e.s. (corn, soya, palm kernel oil, etc.)",Other vegetables and tubers,Other dried vegetables n.e.s.,Other fresh fish,Other food products,Other dairy products,"Other herbal teas and infusions n.e.s. (quinquelibat, lemongrass, etc.)",Other tubers n.e.s.,Other meats n.e.s.,Lawyers,Sweet banana,"Donuts, pancakes",Butter,Shea Butter,Shea Butter,Cookies,Local industrial beer,Traditional beer (dolo),"Traditional beers and wines (dolo, palm wine, raffia wine, etc.)",Industrial beers,Wheat,Non-alcoholic non-alcoholic drink,Industrial non-alcoholic drink,"Soft drinks (coke, etc.)",Coffee,Sugar cane,"Caramel, sweets, confectionery, etc.",Carrot,"Cold meats (ham, sausage), preserved meats",Chocolate powder,"Chewable chocolate, spread",Cabbage,Cigarette,Lemons,Tomato concentrate,Cucumber,Canned fish,Croissants,"Cube (Maggi, Jumbo,…)","Food cube (Maggi, Jumbo, )",Dates,Mineral water,Mineral/filtered water,Local or imported wheat flour,Corn flour,Millet flour,Millet flour,Cassava flours,"Leaves (sorrel, baobab, boulvaka…",Sorrel leaves,Baobab leaves,Bean leaves,"Cassava leaves, taro leaves and other leaves",Local leaves (Boulvanka),Fonio,Cheese,"Fruits (oranges, pineapples, papayas)","Gari, tapioca",Game,Ginger,Okra,Fresh okra,Dry okra,Cakes,Bean,Green bean,Peanut oil,Cottonseed oil,Refined palm oil,Red palm oil,Oils,Yam,"Fruit juice (orange, bissap, ginger, cashew juice, etc.)",Juice powder,Kapok (voaga),Milk,"Curdled milk, yogurt",Unsweetened condensed milk,Sweetened condensed milk,Powdered milk,Baby milk and flour,Fresh milk,Mango,Cassava,Mayonnaise,But,Corn grain,Corn on the cob,Honey,Cowpea/Dried beans,Cashew nuts,Coconut,Cola nuts,Shea nut,Eggs,Fresh onion,"Onions (pod, leaf)",Orange,Bread,Modern bread,Traditional bread,"Watermelon, Melon",Potato,Yam,Tomato leg,Millet,Millet,Dried peas,Peas,Pepper,Plantain,Fresh carp fish,Fresh horse mackerel fish,Fresh mackerel fish,Smoked catfish/carp fish,Dried fish,Fresh fish,Smoked fish,Dried fish,Fresh pepper,Potato,Chicken on foot,Dairy products,Peanut paste,Pasta,Rice,Imported long grain rice,Local rice (Bagré Sourou and Bama),Salad (lettuce),Salt,Sorghum,Soumbala,Soumbala (African mustard),Sugar (powder or pieces),Sesame,Local chewing tobacco,"Taro, macabo",Tea,Fresh tomato,Dried tomato,Fresh tomatoes,Meat from other domestic poultry,Beef,Camel meat,Goat meat,Mutton,Pork meat,Chicken meat,Fresh beef,Fresh sheep/goat meat,Wine and liquors,Vinegar/mustard,Fresh or live poultry,coffee,Eggs,Mutton,Pork meat,Chicken meat,Fresh beef,Fresh sheep/goat meat,Wine and liquors,Vinegar/mustard,Fresh or live poultry,coffee,Eggs
1-1,Boucle du Mouhoun,2013_Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-10,Boucle du Mouhoun,2013_Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-11,Boucle du Mouhoun,2013_Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,
1-12,Boucle du Mouhoun,2013_Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,
1-121,Centre-Nord,2019,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,750,,,200,,,,,,,,,2000,,,,250,,,,,,,200,,,,,,,,,,,,,,,,600,,,,,,500,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,150,,1050,,,250,17500,,100,125,,,,125,,,,,,,500,,,,,,,,,,,,,,,,,,,,
1-141,Centre-Nord,2019,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,750,,,,,,,,,,,,1600,,,,250,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,800,,,250,51000,,150,200,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-15,Centre-Nord,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18500,,,,,,,,,,,,,,,,,,,,,1600,,,25,17500,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-168,Centre-Nord,2019,,,,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,50,,,,225,,,,,,,,,200,,,,,,200,,,,,,,,,,,,,,,,,,,,,5000,,,100,,,,,,,,,,,,,20000,,,,50,,,,,,1000,,,,,,,,250,,,,,,50,17500,,1000,3000,,,,100,100,,,,500,,,,,,,,,,,,,,,,,,,,,,
1-2,Boucle du Mouhoun,2013_Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
