i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1-1,2013_Q4,Boucle-du-mouhoun,1,3,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1.609437912
1-10,2013_Q4,Boucle-du-mouhoun,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1.386294361
1-11,2013_Q4,Boucle-du-mouhoun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1-12,2013_Q4,Boucle-du-mouhoun,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.386294361
1-2,2013_Q4,Boucle-du-mouhoun,1,2,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1.609437912
1-3,2013_Q4,Boucle-du-mouhoun,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
1-4,2013_Q4,Boucle-du-mouhoun,1,3,1,2,0,0,1,1,2,1,0,0,0,1,1,0,0,0,1.945910149
1-5,2013_Q4,Boucle-du-mouhoun,1,4,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1.791759469
1-6,2013_Q4,Boucle-du-mouhoun,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1-7,2013_Q4,Boucle-du-mouhoun,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
1-8,2013_Q4,Boucle-du-mouhoun,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
1-9,2013_Q4,Boucle-du-mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.098612289
10-1,2013_Q4,Boucle-du-mouhoun,1,5,1,1,1,0,3,0,1,1,0,0,0,1,1,0,0,0,2.079441542
10-10,2013_Q4,Boucle-du-mouhoun,1,3,1,1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1.791759469
10-11,2013_Q4,Boucle-du-mouhoun,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10-12,2013_Q4,Boucle-du-mouhoun,1,3,2,2,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2.079441542
10-2,2013_Q4,Boucle-du-mouhoun,4,5,3,4,0,1,2,2,3,1,0,0,1,1,1,2,1,1,2.772588722
10-3,2013_Q4,Boucle-du-mouhoun,2,2,1,2,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1.945910149
10-4,2013_Q4,Boucle-du-mouhoun,2,5,3,3,2,1,1,0,1,2,2,0,1,0,0,2,1,0,2.564949357
10-5,2013_Q4,Boucle-du-mouhoun,1,2,4,2,0,1,1,0,1,0,0,1,1,1,2,0,1,0,2.197224577
10-6,2013_Q4,Boucle-du-mouhoun,3,3,1,2,1,0,1,1,1,0,0,1,0,2,1,0,0,1,2.197224577
10-7,2013_Q4,Boucle-du-mouhoun,2,2,2,3,1,1,1,0,0,2,0,0,1,0,1,2,0,0,2.197224577
10-8,2013_Q4,Boucle-du-mouhoun,3,3,2,6,1,1,0,1,1,2,1,2,1,0,0,2,1,1,2.63905733
10-9,2013_Q4,Boucle-du-mouhoun,2,4,1,2,2,1,1,0,0,1,1,0,0,1,1,1,0,0,2.197224577
