"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1639472067.03911","","","","","","","",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","212985555316.578","218568622920.692","225379390206.634","215510244181.91","215252887294.002","222856822660.024","235121247504.093","243075294573.7","251346173552.316","255304825849.588","256266378858.844","262876959734.378","271168935096.154","286498000915.798","297480963502.952","308363131428.516","320478897160.583","328473766584.605","334791242540.956","348928591962.5","357285348661.539","372997943295.651","397173261304.906","421705181361.238","458053885302.784","481779090379.158","491342572374.152","496840250895.711","528657811530.904","532822385539.43","552545866831.244","575698121130.7","598274329570.652","633421927043.724","646229568473.237","660035731016.128","677664731097.567","696024890278.534","675756069993.261","708793018191.042","733317566053.08",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17123711597.304","18768638836.4625","19150927751.6364","20043183833.8162","22983110289.798","23680895910.8495","26058265986.0683","26551869938.6996","29190078638.631","31702418643.5574","34376720339.5579","37108421099.7471","41022349488.0993","47731428948.5867","48697216394.9441","47082733144.2601","46764583433.963","46292134832.6163","41996348903.2525","44017821282.3395","47099068774.6452",
"Albania","ALB","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5437411625.03332","4460286765.26289","4220263597.78392","4344089920.2214","4613346259.7273","4797470176.9856","5141571443.71568","5675934024.68951","5885207387.6607","6261494234.18894","6695056637.49411","7547771011.18302","8312249293.84723","8371577789.94608","8511417982.46507","8662176537.1726","8673349283.28163","8832642512.44576","9081188066.47935","9188593701.2885","9384018552.11283","9613312012.16773","9922431682.329","10250234952.3393","9901917611.40892","10363759929.8225","11104067717.398",
"Andorra","AND","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","715536729114.213","742664417306.236","769020020100.35","799252020155.64","855238495769.13","902331090223.166","974048718222.382","1065655997381.74","1156234125102.41","1145305171298.78","1140578922193.02","1172202593248.22","1223387846584.71","1252528048240.9","1319970112411.73","1312081178792.67","1351039083299.16","1398547745449.78","1422219961099.53","1476408375721.57","1419189167180.75","1503141951558.7","1549677256830.1",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142646055179.635","151496467674.734","154519753501.287","172168826388.402","176762728469.207","203711133308.51","228769984509.942","256020477232.414","184302889978.108","133958094828.233","148701424410.158","132625441431.989","139533622994.223","156724432158.774","126824783989.108","128895821464.146","140983537849.922","149581792102.55","164474108781.525","143945057401.988","","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208908033542.251","221585436908.129","211885134302.686","223612048282.454","243684728322.642","252152962135.519","247114522699.309","245484425136.877","231390305384.777","198176091791.15","214365036190.596","234728895485.616","252081413051.7","279700043626.27","305820793237.936","327976436094.863","310273409512.307","344987389605.598","377308288621.875","381497473846.926","395380212585.529","378148640518.181","391974496653.948","388916035760.743","405088889730.027","395991702935.244","371729644972.043","326485070609.54","360285910197.962","395116321152.049",
