i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70001/01,2016-17,Western,6,19,7.5,7,7.8,0.5,0.5,3,3,3,6.8,5,3.5,24,6.1,3.6,8,8,6,5,2,3,2.5,47,52,15,2,3.6,2,11,15,11.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/02,2016-17,Western,9,44,18.5,44,7,,5,5,1,5,10,12,6.1,47,13,31,,17,5,,,15,,46,23.3,28,7,12.8,5,24,32,33.5,14,11.5,26,0.2,10,18,8,0.5,11,5,17.5,17,7,2,3,1,5,44,3.5,4,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/03,2016-17,Western,,27,,,2,,,2,,,50,,,,5,2,,,,,,,6,,150,,,,15,,,63.5,,50,15,,,,,,,,,66,64.5,,,,,,,,,,20,10,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/04,2016-17,Western,,20,1,8,39,,,3,0.8,12,4,15,1.3,34,6,20,2,9.3,18.2,,1,3,,7,30,10,1,1,13,10,9.1,17.8,,1,9,,4,2,,,,,7,,3.5,,1,3.5,,,8,,,,3,3.5,7.5,1,1,4,7,1.4,1.3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/05,2016-17,Western,,34,,6,46.5,,3,,1.9,,,20,,20,,2,,22,1,,,7.5,,11,62.8,60,6,4.6,5,19,8,10,,12.5,15,0.2,,,,,,,,18,12,,8.5,,,,12,,,,,,34.5,,,,,7,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/06,2016-17,Western,2,13.5,4,13,10,,,,,2,4,10,1.2,19,11,2.5,1,5,2,15,,2,,12,16,,51.5,2,,1,4,8,10,1,0.5,0.1,,,,0.8,,,15,,,,3,,,,3,,,5,1,,2.5,,,,,,,,10,,,15,5,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/07,2016-17,Western,,34.5,34,21,1,,,,2.2,8,16,5,4.7,90,2,4,2,11.9,4,30,,3.5,,25,35,73,,1.7,,6,17,20.3,,1,4,,,,,,0.6,,5,,,5,2,,,,3,,,2,2,3,4.5,,5,,,,2.2,,20,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/08,2016-17,Western,,17,,2,,,,1,,,3.6,9,,21,,,,6.5,1,,,2,,21,,10,,0.5,,11,1.5,7,,,3,,,,,,,,,,,0.5,3.5,,,,1,,,,,,,,,,,,,,1,,,,,5,,,,,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/09,2016-17,Western,10,33,15,43,32.5,,,,6,10,18,,2,25,5,10,,13.5,3,,2,20,,57,185,50,1,8.5,,25,75,13.5,10,10,11,,25,,,,,5,25,,,,,,,20,,,35,5,,,12.5,10,20,,,,3,13,,20,15,100,15,,,5,,,,,,9.5,8,10,3,10,2,2,3,3,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/10,2016-17,Western,,12,,,8,,,,,,3.5,,,,,,,0.5,5,,,1,,6,,,0.5,,16,1,,11,,2,,,,,,,,,,,,,1,,,,4.5,,,,,1,,,,,,1,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/11,2016-17,Western,,1,,,,,,,,,,,,,,,,1,,,,,,,18,,,,4,1.2,1.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
