i,t,m,Females 00-00,Females 01-04,Females 05-09,Females 10-14,Females 15-19,Females 20-29,Females 30-49,Females 50-59,Females 60-99,Males 00-00,Males 01-04,Males 05-09,Males 10-14,Males 15-19,Males 20-29,Males 30-49,Males 50-59,Males 60-99,boys,girls,log HSize,men,women
70001/01,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70001/02,2016-17,Western,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1.945910149,2,3
70001/03,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70001/04,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289,2,0
70001/05,2016-17,Western,1,0,0,1,2,1,1,0,0,0,0,1,0,1,0,0,1,0,1,3,2.197224577,2,3
70001/06,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70001/07,2016-17,Western,0,0,1,0,1,0,1,0,0,0,0,1,2,0,2,2,0,0,3,2,2.302585093,4,1
70001/08,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70001/09,2016-17,Western,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.609437912,0,4
70001/10,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70001/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70001/12,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,2,0
70001/14,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70001/15,2016-17,Western,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,2,1.791759469,0,1
70002/01,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70002/02,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1.098612289,1,1
70002/03,2016-17,Western,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70002/04,2016-17,Western,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,1.945910149,0,1
70002/05,2016-17,Western,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289,0,1
70002/06,2016-17,Western,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806,1,1
70002/07,2016-17,Western,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70002/08,2016-17,Western,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1.609437912,1,1
70002/09,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70002/10,2016-17,Western,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2,1,1.791759469,2,1
70002/11,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,1,0
70002/13,2016-17,Western,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.609437912,1,4
70002/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70002/15,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70003/01,2016-17,Western,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1.609437912,0,2
70003/03,2016-17,Western,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361,1,1
70003/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
