i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
101,2011,Niger,0,0,0,1,1,0,1,0,1,0,1,0,1,0
102,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
103,2011,Niger,1,0,1,0,0,0,1,2,1,1,0,1,0,0
104,2011,Niger,1,0,0,0,1,0,0,0,0,0,0,1,0,0
105,2011,Niger,0,0,0,0,1,1,0,0,1,1,0,0,1,0
106,2011,Niger,0,0,0,0,0,1,0,0,1,0,0,0,2,0
107,2011,Niger,0,0,1,2,0,0,0,0,0,0,0,0,0,1
108,2011,Niger,0,0,0,0,0,1,1,0,0,0,1,2,0,1
109,2011,Niger,0,1,1,0,0,1,0,1,0,0,1,1,0,0
110,2011,Niger,0,0,0,0,0,1,0,1,0,0,0,1,0,0
111,2011,Niger,0,0,0,1,0,0,0,0,0,1,0,1,1,0
112,2011,Niger,2,0,0,0,0,1,0,0,0,0,0,1,0,0
201,2011,Niger,0,2,3,1,0,0,0,1,3,0,0,2,1,1
202,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
203,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
204,2011,Niger,1,1,1,0,1,1,0,0,0,1,0,1,0,1
205,2011,Niger,1,0,0,0,0,1,0,0,0,0,0,1,0,0
206,2011,Niger,0,0,1,0,1,1,0,0,2,1,0,1,1,0
207,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,1,1,0
208,2011,Niger,0,1,0,0,0,1,0,1,2,2,1,0,1,0
209,2011,Niger,0,1,1,0,0,1,0,0,0,0,0,0,0,0
210,2011,Niger,0,0,0,0,0,0,0,0,0,2,0,0,0,1
211,2011,Niger,1,1,0,0,1,0,0,0,0,0,0,1,0,0
212,2011,Niger,0,0,0,0,0,1,0,1,2,0,0,1,0,0
301,2011,Niger,0,0,2,1,0,1,0,1,2,1,2,0,1,0
302,2011,Niger,0,2,2,0,0,0,0,0,0,0,1,0,1,0
303,2011,Niger,0,0,0,1,1,0,1,0,0,0,0,0,1,0
304,2011,Niger,0,1,1,0,0,1,0,1,1,1,1,0,1,0
305,2011,Niger,0,0,0,1,1,0,1,0,0,1,0,1,0,1
306,2011,Niger,0,2,2,0,0,1,0,0,0,0,1,0,1,0
307,2011,Niger,0,0,0,1,1,1,0,0,1,0,0,0,1,0
308,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,1,0,0
309,2011,Niger,0,0,1,0,0,0,0,0,0,0,0,0,1,1
310,2011,Niger,0,0,0,2,1,1,1,0,0,0,0,1,3,1
311,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
312,2011,Niger,1,1,1,1,0,1,0,0,1,0,1,0,1,0
401,2011,Niger,2,1,0,0,0,1,0,2,2,3,4,2,1,0
402,2011,Niger,0,0,0,0,0,0,1,1,2,0,0,1,0,0
403,2011,Niger,0,0,0,0,0,1,0,0,1,0,0,1,0,0
404,2011,Niger,0,0,0,1,0,0,1,0,1,1,1,0,0,1
405,2011,Niger,1,1,1,0,0,0,0,1,1,0,0,1,1,1
406,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,0,1
407,2011,Niger,1,0,0,0,0,1,0,0,0,0,1,1,0,0
408,2011,Niger,0,0,0,0,1,0,0,1,0,0,1,0,0,0
409,2011,Niger,1,0,0,0,0,1,0,0,2,0,0,1,0,0
410,2011,Niger,0,1,0,0,0,1,0,1,1,0,0,1,0,0
411,2011,Niger,0,0,2,0,0,0,1,1,3,0,0,1,1,0
412,2011,Niger,2,2,1,0,0,1,0,0,0,0,0,0,1,0
501,2011,Niger,0,1,2,1,2,0,1,1,2,1,0,1,3,0
502,2011,Niger,1,1,2,0,1,0,1,0,0,5,1,1,2,0
503,2011,Niger,1,1,2,0,0,0,1,0,0,0,1,1,1,0
504,2011,Niger,0,1,0,0,1,1,0,0,0,1,1,0,1,0
505,2011,Niger,0,1,0,1,1,0,1,0,0,1,0,1,3,0
506,2011,Niger,2,1,1,2,2,0,1,0,2,2,1,2,2,0
507,2011,Niger,0,1,0,1,0,1,0,0,2,0,1,1,1,0
509,2011,Niger,0,0,0,0,2,0,0,0,0,0,0,0,0,0
510,2011,Niger,0,2,1,0,0,1,1,0,0,0,2,0,1,0
511,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
512,2011,Niger,0,1,0,0,0,0,1,0,0,1,1,1,1,0
601,2011,Niger,2,1,0,0,0,1,0,0,0,0,0,1,0,0
602,2011,Niger,0,0,0,0,0,1,0,0,0,2,0,1,0,0
603,2011,Niger,0,1,0,0,0,1,0,0,1,0,0,1,0,0
604,2011,Niger,0,0,0,0,0,1,0,1,0,0,0,0,1,0
605,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,0,0,0
606,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
607,2011,Niger,0,0,0,0,0,1,0,0,0,0,1,0,0,0
608,2011,Niger,0,2,0,0,0,1,0,2,1,2,0,1,0,0
609,2011,Niger,0,1,0,0,1,1,0,1,1,0,1,1,1,0
610,2011,Niger,0,0,0,0,0,1,0,1,1,0,0,1,0,0
611,2011,Niger,1,1,0,0,0,1,0,1,0,0,0,1,0,0
612,2011,Niger,0,1,0,0,0,0,1,0,3,0,0,0,1,0
701,2011,Niger,0,0,0,0,0,1,0,1,0,0,0,1,0,0
702,2011,Niger,1,0,1,0,0,1,0,0,0,1,0,1,0,0
703,2011,Niger,0,1,2,1,1,1,0,0,0,0,1,1,1,0
704,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
705,2011,Niger,1,1,0,0,0,1,0,0,1,1,1,1,1,0
706,2011,Niger,0,0,1,0,1,0,1,0,0,1,1,0,1,0
707,2011,Niger,0,3,0,2,1,0,1,1,0,1,1,0,2,1
708,2011,Niger,1,0,1,3,3,0,1,0,2,4,1,0,2,0
709,2011,Niger,1,0,0,0,0,1,0,0,1,0,0,1,0,0
710,2011,Niger,1,1,0,1,1,0,1,0,1,2,2,1,1,0
711,2011,Niger,2,1,0,0,2,0,1,0,1,2,2,0,2,0
712,2011,Niger,1,0,0,0,3,1,0,1,0,0,0,1,0,0
801,2011,Niger,0,0,1,0,0,0,0,0,0,0,0,0,0,1
803,2011,Niger,1,1,0,0,0,1,0,1,0,0,0,1,0,0
804,2011,Niger,2,0,1,0,0,1,0,0,1,0,0,1,0,0
805,2011,Niger,0,0,0,0,1,0,1,0,1,0,0,0,1,0
806,2011,Niger,1,0,0,0,0,1,0,0,0,0,0,1,0,0
807,2011,Niger,0,0,0,0,0,1,0,2,2,0,0,1,0,0
808,2011,Niger,0,1,0,0,0,0,1,2,1,0,0,1,0,0
809,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
810,2011,Niger,0,0,0,0,1,0,0,2,0,0,0,1,0,0
811,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
812,2011,Niger,0,1,2,0,0,0,0,0,1,1,0,1,0,0
813,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
814,2011,Niger,1,0,0,0,0,0,1,1,2,0,0,0,1,0
815,2011,Niger,0,0,2,2,1,0,1,1,3,1,1,0,1,0
816,2011,Niger,0,0,1,2,0,0,1,0,0,2,0,1,0,0
817,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,1,0
818,2011,Niger,0,2,2,0,0,1,0,0,0,0,0,1,0,0
901,2011,Niger,0,0,0,1,0,1,0,0,0,0,0,0,0,0
902,2011,Niger,1,3,2,2,0,1,0,1,0,1,1,0,3,0
903,2011,Niger,2,0,0,0,0,1,0,0,0,0,0,1,0,0
904,2011,Niger,0,1,1,1,1,0,1,0,0,1,0,0,1,0
905,2011,Niger,0,0,0,0,0,0,0,1,0,1,2,0,1,0
906,2011,Niger,1,0,1,1,0,0,1,0,2,1,1,0,1,0
907,2011,Niger,1,0,0,0,0,1,0,0,1,0,0,1,0,0
908,2011,Niger,1,0,1,1,0,1,0,1,0,0,0,1,0,0
909,2011,Niger,0,0,0,1,0,0,1,1,2,0,0,1,1,0
912,2011,Niger,1,1,0,0,0,0,1,0,0,0,1,0,1,0
913,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,0,0,0
914,2011,Niger,0,1,1,1,0,1,0,0,0,0,1,1,1,0
915,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,0,0
916,2011,Niger,0,1,2,1,1,0,0,1,2,1,1,3,1,0
917,2011,Niger,1,0,1,1,1,0,2,0,2,0,0,0,1,1
918,2011,Niger,0,0,3,1,1,0,1,0,2,0,0,0,1,1
1001,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1002,2011,Niger,1,1,0,0,0,1,0,0,1,0,0,1,0,0
1003,2011,Niger,2,0,0,0,0,1,0,0,0,0,0,1,0,0
1004,2011,Niger,1,1,1,0,0,1,0,0,0,2,0,0,1,0
1005,2011,Niger,1,0,0,0,0,1,0,1,1,0,0,1,0,0
1006,2011,Niger,0,1,1,0,0,0,1,0,0,1,2,1,1,0
1007,2011,Niger,0,0,1,0,0,1,0,1,3,1,0,1,0,0
1008,2011,Niger,0,2,0,0,0,1,0,0,0,3,2,0,1,0
1009,2011,Niger,2,1,0,1,0,1,0,1,1,0,0,1,0,0
1010,2011,Niger,2,0,0,0,0,1,0,0,5,1,0,0,1,0
1011,2011,Niger,1,1,0,1,0,1,0,0,1,1,1,0,1,0
1012,2011,Niger,0,1,0,0,1,0,0,1,1,0,0,1,0,0
1013,2011,Niger,1,1,0,0,0,1,0,1,1,1,0,1,0,0
