i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
10001,2010,Nigeria,0,0,0,0,1,2,0,1,0,0,0,1,2,0
10002,2010,Nigeria,0,0,1,1,1,1,0,0,0,0,0,2,1,0
10003,2010,Nigeria,0,1,1,1,0,0,1,0,0,1,0,0,1,0
10004,2010,Nigeria,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10006,2010,Nigeria,0,0,0,0,1,1,0,0,0,0,0,1,0,0
10008,2010,Nigeria,0,0,1,0,0,0,1,0,1,2,1,0,1,0
10009,2010,Nigeria,0,0,0,0,0,1,0,1,0,0,1,1,0,0
10010,2010,Nigeria,0,0,0,1,0,0,1,0,0,0,1,0,0,1
10011,2010,Nigeria,0,0,0,2,1,0,0,0,0,1,0,1,1,0
10012,2010,Nigeria,2,0,0,0,1,1,1,0,0,0,0,1,0,1
10013,2010,Nigeria,0,0,0,0,0,2,0,1,0,0,1,2,1,1
10014,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10015,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10016,2010,Nigeria,0,0,1,0,0,1,0,1,0,1,0,0,1,0
10017,2010,Nigeria,0,0,0,0,2,0,1,0,0,0,0,0,0,1
10018,2010,Nigeria,0,0,2,0,0,1,0,0,1,0,0,1,0,0
10019,2010,Nigeria,1,0,0,0,1,0,0,1,0,0,0,2,0,1
10020,2010,Nigeria,0,1,1,1,0,0,0,0,1,0,0,1,0,0
10021,2010,Nigeria,0,0,1,0,0,1,0,0,1,1,0,0,1,0
10022,2010,Nigeria,0,1,1,1,0,1,0,0,0,1,0,0,1,0
10023,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10024,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10025,2010,Nigeria,0,0,0,0,1,0,0,1,0,0,0,1,0,0
10026,2010,Nigeria,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10027,2010,Nigeria,0,1,0,1,1,1,0,0,0,0,0,0,1,0
10028,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10029,2010,Nigeria,1,0,0,0,0,1,0,1,0,0,0,1,0,0
10030,2010,Nigeria,0,1,0,1,0,1,0,0,1,2,1,0,1,0
10031,2010,Nigeria,0,2,0,0,0,1,0,1,0,0,0,0,1,0
10032,2010,Nigeria,0,0,0,1,0,1,0,0,1,0,0,1,0,0
10033,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,0,1,1
10034,2010,Nigeria,0,0,1,1,1,0,1,0,0,0,2,5,1,0
10035,2010,Nigeria,0,0,0,1,2,0,1,0,0,0,0,1,1,0
10036,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,2,2,1,0
10037,2010,Nigeria,0,0,0,0,2,0,0,0,0,0,1,1,1,0
10038,2010,Nigeria,1,3,0,0,0,0,1,0,0,1,0,0,1,0
10039,2010,Nigeria,0,0,0,1,0,2,1,0,0,0,0,0,1,1
10040,2010,Nigeria,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10041,2010,Nigeria,0,0,0,2,1,0,1,0,0,0,0,2,1,1
10042,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10043,2010,Nigeria,0,0,0,1,1,0,1,0,0,0,1,1,1,0
10044,2010,Nigeria,1,0,0,0,0,1,0,2,1,0,0,1,0,0
10045,2010,Nigeria,0,0,0,0,0,0,1,0,1,1,0,2,1,0
10046,2010,Nigeria,0,0,0,0,0,1,1,0,0,0,0,1,0,1
10047,2010,Nigeria,0,0,0,0,2,0,1,0,0,0,1,3,0,1
10048,2010,Nigeria,0,0,1,2,2,1,0,0,0,1,0,0,1,0
10049,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10050,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10051,2010,Nigeria,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10052,2010,Nigeria,0,2,0,0,0,1,0,1,0,0,0,1,0,0
10053,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,1,1,0
10054,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,1,2,1,0
10055,2010,Nigeria,0,0,0,0,1,1,0,0,0,0,0,1,1,0
10056,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,2,1
10057,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10058,2010,Nigeria,0,0,0,0,2,0,1,0,0,0,0,2,0,1
