i,t,m,women,men,boys,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
11011,2018,ziguinchor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
110110,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361,1
110111,2018,ziguinchor,0,2,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1.386294361,1
110112,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806,1
11012,2018,ziguinchor,2,2,2,4,0,0,0,1,1,1,1,2,1,1,0,1,1,0,2.302585093,1
11013,2018,ziguinchor,1,1,2,2,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1.791759469,1
11014,2018,ziguinchor,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1
11015,2018,ziguinchor,1,1,1,4,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1.945910149,1
11016,2018,ziguinchor,1,3,1,2,0,0,0,0,1,1,0,1,2,0,0,1,1,0,1.945910149,1
11017,2018,ziguinchor,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.791759469,1
11018,2018,ziguinchor,1,1,2,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469,1
11019,2018,ziguinchor,1,4,0,2,0,0,0,2,0,0,0,0,2,0,1,0,1,1,1.945910149,1
11031,2018,ziguinchor,1,2,2,1,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1.791759469,1
110310,2018,ziguinchor,2,1,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1.609437912,1
110311,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1.386294361,1
110312,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,1
11032,2018,ziguinchor,3,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.791759469,1
11033,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11034,2018,ziguinchor,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289,1
11035,2018,ziguinchor,2,1,3,3,1,0,0,1,2,2,0,0,0,1,1,0,0,1,2.197224577,1
11036,2018,ziguinchor,3,2,0,2,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1.945910149,1
11037,2018,ziguinchor,3,1,0,2,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1.791759469,1
11038,2018,ziguinchor,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806,1
11039,2018,ziguinchor,1,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1.609437912,1
11041,2018,ziguinchor,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.609437912,0
110410,2018,ziguinchor,4,2,0,2,0,0,0,1,0,1,0,1,1,2,0,0,1,1,2.079441542,0
110411,2018,ziguinchor,3,2,0,3,0,0,0,1,0,0,0,2,0,0,2,1,0,2,2.079441542,0
110412,2018,ziguinchor,2,1,1,2,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1.791759469,0
11042,2018,ziguinchor,2,3,5,1,1,0,1,0,1,0,2,1,1,0,2,1,0,1,2.397895273,0
11043,2018,ziguinchor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,0
