j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
Cassava Fresh,1600,14,20,270,160,381,3,8.54,0.48,0.87,10,0,0.88,206,3
Chicken,2390,273,0,50,150,0,13,84.87,1.68,0.63,480,3,4,0,19
Cooking Oil,8840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leafy Greens,22,1.09,0,0,40,4.07,0.32,0.375,0,0.082,0,0,0.071,15.2,0.31
Millet & Sorghum (flour),3740,109,90,840,80,721,30,46.68,2.87,4.16,0,0,3.8,0,17
Salt,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Sugar,3870,0,0,0,10,1000,0,0,0.19,0,0,0,0,0,0
Tea (dry),1,0,0,5,0,0.3,0.02,0,0.014,0,0,0,0,0,0.02
0.01,27,2.85,1.6,116,68,4.07,1.26,0.551,0.194,0.077,283,0,0.195,26.5,0.45
Beef,2510,182,0,60,70,0,19,31.5,1.6,0.9,0,28.9,3.8,0,37
Dairy Products,61,3.27,0,0,123,4.63,0,0.105,0.138,0.056,32,0.54,0.061,0,0.42
Fish (dried),290,62.8,0,25,160,0,2.5,7.5,0.24,0.268,42,10,0.864,3.5,1.59
Maize (flour),3690,73,40,300,30,792,11,10,0.5,1.4,0,0,1.98,0,7
Pulses,127,8.7,6.4,130,27,22.8,2.1,0.4,0.06,0.07,0,0,0.1,0,0.9
"Buns, Cakes And Biscuits",3570,54,10,380,1300,572,15,15.33,2.42,1.86,150,0.8,0.21,2,3
Fish (fresh),1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Goat Meat,1090,206,0,50,130,0,28,37.5,4.9,1.1,0,11.3,2,0,40
Milk (fresh),600,32,0,50,1130,45,0,1.07,1.83,0.44,280,4.4,0.36,0,4
Plantains,122,1.3,2.3,22,3,31,0.6,0.6,0.1,0.1,112,0,0.3,18.4,0.3
Rice (husked),3600,66,0,90,90,793,8,16,0.48,0.7,0,0,1.45,0,12
Soft drinks,150,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Sweet Potatoes,1230,23,40,160,430,289,9,8,0.88,1.12,2250,0,3,34,4
"Honey, Syrups, etc.",3040,3,0,20,60,824,4,1.21,0.38,0,0,0,0.24,5,2
Macaroni/Spaghetti,3710,130,32,180,210,747,13,17,0.6,0.9,0,0,1.42,0,14
Coconuts,354,3.3,9,26,14,15,2.43,0.54,0.057,0.066,0,0,0.054,3.3,1.1
Coffee & Cocoa,2,0.28,0,0,5,0,0.01,0.5,0.01,0.01,0,0,0.002,0,0.02
Groundnuts,567,25,8,240,92,16,4.6,12,0.135,0.64,0,0,0.348,0,3.3
Irish Potatoes,770,20,20,160,120,175,8,10.54,0.32,0.8,0,0,2.95,197,3
Wheat Flour,3640,103,30,260,150,763,12,12.5,0.4,1.2,0,0,0.44,0,7
Bread,2660,76,20,1110,1510,506,37,43.85,3.31,4.55,0,0,0.84,0,7
Citrus Fruits,52,0.91,2,25,43,11.8,0.33,0.425,0.051,0.068,0,0,0.079,59.1,0.11
Maize (grain),1720,44,30,90,30,349,13,17.04,0.94,1.81,50,0,2.92,0,10
Sugarcane,540,6,31,0,80,130,14,1,0.1,0.2,0,0,0,30,0
Ripe Bananas,890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2
Bottled Beer,410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
"Maize (green, cob)",364,8.75,8.4,0,5,73.9,1.74,2.6,0.23,0.16,0,0,0.47,0,2.24
Pork,2000,195,0,50,190,0,8,44.9,2.5,8.9,20,6.3,4.6,6,19
Wine & Spirits,125,0.1,0,2,14,3.8,0.7,0.3,0.04,0.01,0,0,0.1,0,0.2
Cassava (flour),3140,26,40,360,310,766,19,14,0.5,3.1,70,0,7,720,7
Yams/Cocoyams,1180,15,40,230,170,279,5,5.52,0.32,1.12,70,0,2.93,171,2
"Butter, Etc.",0,0,0,0,14,0,0.03,0,0,0,0,0,0,0,0.07
Milk (dry or canned),600,32,0,50,1130,45,0,1.07,1.83,0.44,280,4.4,0.36,0,4
Sweets,387,0,0,0,0,98,0,0,0,0,0,0,0,0,0
Seeds,609,18.9,7.2,0,116,24.5,4.37,0,0,0,0,0,0,0,5.58
Eggs,1430,126,0,470,530,8,18,0.7,4.78,0.69,1400,12.9,1.43,0,11
Nuts,4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Other Meat,1090,206,0,50,130,0,28,37.5,4.9,1.1,0,11.3,2,0,40
Rice (paddy),3620,75,30,200,330,762,18,43.08,0.43,4.13,0,0,5.09,0,20
