i,t,m,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
0001-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0001-001-003,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0001-001-004,2019-20,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0001-004-001,2019-20,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0001-004-002,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0003-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1.791759469
0004-001-001,2019-20,Mainland Rural,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1.609437912
0005-001-001,2019-20,Mainland Rural,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1.791759469
0007-001-001,2019-20,Mainland Rural,0,1,1,0,0,3,0,0,0,0,1,1,0,0,1.945910149
0009-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1.609437912
0010-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
0011-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0012-001-001,2019-20,Mainland Rural,1,1,0,1,2,0,0,0,2,1,0,1,1,0,2.302585093
0012-001-010,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0012-003-001,2019-20,Mainland Rural,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
0013-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0015-001-001,2019-20,Mainland Rural,0,0,1,1,0,1,0,1,2,1,1,1,0,0,2.197224577
0016-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0016-001-002,2019-20,Mainland Rural,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1.609437912
0017-001-001,2019-20,Mainland Rural,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
0017-002-001,2019-20,Mainland Other Urban,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.386294361
0018-001-001,2019-20,Mainland Rural,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.791759469
0020-001-001,2019-20,Mainland Rural,1,0,1,0,0,2,1,0,0,0,1,1,0,0,1.945910149
0021-001-002,2019-20,Mainland Other Urban,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1.791759469
0023-001-001,2019-20,Mainland Rural,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
0024-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1.945910149
0026-001-001,2019-20,Mainland Rural,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
0028-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1.609437912
0029-001-001,2019-20,Mainland Other Urban,0,1,0,0,1,1,0,0,2,1,1,1,0,0,2.079441542
0030-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
0031-001-001,2019-20,Mainland Other Urban,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1.945910149
0032-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0033-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0034-001-001,2019-20,Dar Es Salaam,0,0,1,1,1,0,0,1,1,0,2,0,1,1,2.197224577
0036-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806
0038-001-001,2019-20,Mainland Other Urban,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
0039-001-001,2019-20,Mainland Rural,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289
0040-001-001,2019-20,Mainland Other Urban,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
0041-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
0041-004-001,2019-20,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
0042-001-001,2019-20,Dar Es Salaam,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0042-001-002,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0043-001-001,2019-20,Mainland Rural,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
0044-001-001,2019-20,Mainland Other Urban,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
0045-001-001,2019-20,Mainland Rural,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
0046-001-001,2019-20,Mainland Rural,0,0,0,3,3,0,0,1,2,3,1,1,0,0,2.63905733
0047-001-001,2019-20,Mainland Other Urban,0,0,0,0,2,0,0,1,2,0,0,0,1,1,1.945910149
0048-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
0049-001-001,2019-20,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
0050-001-001,2019-20,Mainland Rural,0,0,0,2,0,0,0,2,0,0,0,1,1,0,1.791759469
0051-001-001,2019-20,Mainland Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6931471806
0051-001-002,2019-20,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
0051-001-003,2019-20,Dar Es Salaam,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1.386294361
0055-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0055-003-001,2019-20,Mainland Rural,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
0056-001-001,2019-20,Mainland Rural,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1.098612289
0057-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
0058-001-001,2019-20,Mainland Rural,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
0059-001-001,2019-20,Mainland Rural,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
0060-001-001,2019-20,Mainland Rural,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1.386294361
0061-001-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0062-001-001,2019-20,Mainland Rural,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1.609437912
0062-001-003,2019-20,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0062-001-004,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0062-001-005,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0062-004-001,2019-20,Mainland Rural,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1.386294361
0063-001-003,2019-20,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0065-001-001,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0066-002-001,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066-003-001,2019-20,Mainland Rural,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1.945910149
0066-003-003,2019-20,Mainland Rural,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
0066-003-004,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0066-003-005,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0066-003-006,2019-20,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
0067-001-001,2019-20,Mainland Rural,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1.386294361
0067-001-002,2019-20,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
0067-004-001,2019-20,Mainland Rural,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1.945910149
