i,t,m,Males 00-00,Females 00-00,Males 01-04,Females 01-04,Males 05-09,Females 05-09,Males 10-14,Females 10-14,Males 15-19,Females 15-19,Males 20-29,Females 20-29,Males 30-49,Females 30-49,Males 50-59,Females 50-59,Males 60-99,Females 60-99,log HSize
101,2018,Togo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1.0986122886681098
103,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
104,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.0986122886681098
105,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471805599453
106,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
108,2018,Togo,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.3862943611198906
110,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6931471805599453
111,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
112,2018,Togo,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.3862943611198906
201,2018,Togo,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.0986122886681098
202,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
204,2018,Togo,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.3862943611198906
205,2018,Togo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1.0986122886681098
206,2018,Togo,0,0,0,0,2,0,1,0,1,0,0,0,1,1,1,0,0,0,1.9459101490553132
208,2018,Togo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0986122886681098
209,2018,Togo,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1.6094379124341003
210,2018,Togo,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0986122886681098
211,2018,Togo,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1.791759469228055
212,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
214,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
215,2018,Togo,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.3862943611198906
301,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
302,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
303,2018,Togo,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471805599453
305,2018,Togo,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1.0986122886681098
308,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.0986122886681098
310,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
311,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
312,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471805599453
401,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
